library.prep.pool,skip.lib.prep.,Extraction.date,Extraction.conc.,unique_ID,aluminum_band,prev_band,prev_band_2,tissue_number,tissue_number_2,tissue_number_3,tissue_number_4,color_band_lr,color_band_2,sex,age,date_banded,year,plot,longitude,latitude,gps_certainty,pedigree_info,bled,blood_hemat,blood_plasma,blood_whole,feather,freezer_storage_box_location,tissue_notes,mass,bill_depth,bill_length_culmen,bill_length_nares,bill_width,tail,tarsus1,tarsus2,wing_left,wing_right,banders,percent_pine,percent_oak,percent_other,habitat,region,mol.sex
NA,,10-Dec-25,102,F_1,1083-71047,NA,,S20-009,,,,UKU;ARR,NA,F,SY,3/5/20,2020,SZ IST,-119.60484,34.0163868,Trap Setup,NA,Yes,NA,NA,NA,Yes,1.W14.A9,NA,117.9,10.06,33.54,24.81,8.93,147,45.13,NA,NA,134,ARR,0.17640153,0.6228371,0.20076137,pine,east,F
NA,,10-Dec-25,117,F_10,1513-13459,NA,,804,,,,PA,BR,F,ASY,4/23/09,2009,SZ FS,-119.7368254,33.99891226,Estimate,NA,Yes,NA,NA,Yes,Yes,1.V1.H9,NA,121.6,NA,29.95,22.91,NA,137,47.78,47.23,NA,132,LC,0,0.57766666,0.42233334,oak,central,F
NA,,17-Dec-25,36.6,F_100,1783-43516,NA,,F12-110,,,,RRO;AW,NA,F,HY,11/26/12,2012,SZ Off-plot,-119.8025,34.0105557,Location,NA,Yes,No,No,Yes,Yes,1.V14.D3,NA,104.38,9.86,NA,23.69,8.84,148,47.2,47.46,NA,129,LSD,0.32809367,0.22612996,0.44577637,pine,west,F
NA,,17-Dec-25,39.2,F_101,1783-43524,NA,,S13-012,,,,YPP,AP,F,ASY,5/8/13,2013,SZ PZ,-119.7648618,34.00714856,Trap Setup,NA,Yes,No,No,Yes,Yes,1.V15.B3,NA,102,9.82,NA,22.31,9.46,143,45.02,44.49,NA,130,NOL,0,0.44394981,0.5560502,oak,west,F
NA,,17-Dec-25,49.4,F_102,1783-62620,NA,,S14-004,,,,OPW,AWB,F,ASY,3/6/14,2014,SZ SAU,-119.8165287,34.01172249,Trap Setup,NA,Yes,No,No,Yes,Yes,1.W16.A4,NA,100.78,9.63,NA,24.48,8.66,142,44.17,43.94,NA,131,KNF,0.78138145,0.16435664,0.05426191,pine,west,F
NA,,17-Dec-25,20.6,F_103,1783-62632,NA,,S14-018,,,,URY,AWO,F,ASY,3/20/14,2014,SZ SAU,-119.815047,34.005024,Trap Setup,NA,Yes,No,No,Yes,Yes,1.W16.B9,NA,104.58,9.27,NA,22.46,8.81,141,44.68,44.27,NA,130,KNF,0.7035466,3.19E-06,0.29645022,pine,west,F
NA,,17-Dec-25,19.2,F_104,1783-62635,NA,,S14-022,,,,UKU,AWO,F,ASY,3/23/14,2014,SZ SAU,-119.815047,34.005024,Trap Setup,NA,Yes,No,No,Yes,Yes,1.W16.C4,NA,106.22,9.3,NA,22.09,9.21,136,43.66,43.41,NA,128,EJH,0.7035466,3.19E-06,0.29645022,pine,west,F
NA,,17-Dec-25,26.4,F_105,1783-62638,NA,,S14-025,,,,WRU,AWO,F,ASY,3/23/14,2014,SZ SAU,-119.815047,34.005024,Trap Setup,NA,Yes,No,No,Yes,Yes,1.W16.C7,NA,104.64,9.53,NA,23.51,9.35,145,45.55,45.55,NA,128,MCH,0.7035466,3.19E-06,0.29645022,pine,west,F
NA,,17-Dec-25,31.2,F_106,1783-62640,NA,,S14-027,,,,YGO,APO,F,ASY,3/26/14,2014,SZ PZ,-119.758788,34.01416399,Trap Setup,NA,Yes,No,No,Yes,Yes,1.W16.C9,NA,116.86,9.58,NA,21.33,8.6,144,43.58,43.58,NA,130,EJH,0,0.26519276,0.73480724,oak,west,F
NA,,17-Dec-25,17.1,F_107,1783-62653,NA,,S14-040,,,,OYB,AWO,F,ASY,4/1/14,2014,SZ SAU,-119.81595,34.00290098,Trap Setup,NA,Yes,No,No,Yes,Yes,1.W16.E4,NA,103.7,9.4,NA,24.33,9.53,148,44.37,44.74,NA,129,KNF,0.57453826,0.04866196,0.37679978,pine,west,F
NA,,17-Dec-25,115,F_108,1783-62662,NA,,S14-051,,,,GBP,AWO,F,ASY,4/7/14,2014,SZ SAU,-119.819687,34.00323603,Trap Setup,NA,Yes,No,No,Yes,Yes,1.W16.G5,NA,109.93,9.88,NA,22.76,9.33,142,45,44.88,NA,132,MCH,0.61331965,0.29745886,0.0892215,pine,west,F
NA,,17-Dec-25,116,F_109,1783-62665,NA,,S14-053,,,,GYP,AWO,F,ASY,4/7/14,2014,SZ SAU,-119.819687,34.00323603,Trap Setup,NA,Yes,No,No,Yes,Yes,1.W16.G7,NA,99.63,9.71,NA,21.04,9.55,142,42.93,42.96,NA,129,MCH,0.61331965,0.29745886,0.0892215,pine,west,F
NA,,10-Dec-25,27.3,F_11,1583-92746,NA,,F10-109,,,,UBY;AG,NA,F,AHY,11/1/10,2010,SZ Off-plot,-119.70408,34.0285685,Trap Setup,NA,Yes,No,No,Yes,Yes,1.V6.C9,NA,106.87,9.41,32.21,24.64,8.92,148,43.94,NA,NA,134,KL,0.45466041,0.2043093,0.34103029,pine,central,F
NA,,17-Dec-25,112,F_110,1783-62673,NA,,S14-063,,,,RKB,AYO,F,ASY,5/7/14,2014,SZ CPC,-119.721015,33.97633803,Trap Setup,NA,Yes,No,No,Yes,Yes,1.W16.H7,NA,101.6,9.4,NA,20.04,8.85,141,44.55,44.2,NA,128,MCH,0,0.62812294,0.37187706,oak,central,F
NA,,17-Dec-25,118,F_111,1783-62677,NA,,S14-067,,,,BWB,APO,F,ASY,5/14/14,2014,SZ PZ,-119.757116,34.00650706,Trap Setup,NA,No,No,No,Yes,No,1.W16.I2,NA,99.72,9.83,NA,22.91,9.2,139,44.44,44.2,NA,130,EJH,0,0.6364957,0.3635043,oak,west,F
NA,,17-Dec-25,68.2,F_112,1783-62708,NA,,F17-119,,,,WPP,AUO,F,AHY,11/9/17,2017,SZ BV,-119.7911362,34.01279697,Trap Setup,NA,Yes,No,No,Yes,Yes,1.W9.E3,NA,103.5,10.11,31.08,21.88,9.9,142,42.87,42.85,NA,132,KSS,0.06345315,0.41470949,0.52183737,pine,west,F
NA,,17-Dec-25,53.2,F_113,1783-62795,1783-24680,,F11-048,S11-001,,,YBB,AP,F,SY,9/30/11,2011,SZ PZ,-119.7589428,34.00587523,Trap Setup,NA,Yes,No,No,Yes,Yes,1.V10.F2,original band 1783-24680,106.16,9.89,30.64,23.01,8.91,146,44.85,NA,NA,132,KL,0,0.67050828,0.32949172,oak,west,F
NA,,17-Dec-25,59.1,F_114,1783-62796,1783-24826,,S11-095,,,,WRR,AP,F,ASY,6/18/11,2011,SZ PZ,-119.7598874,34.01198419,Trap Setup,NA,Yes,No,No,Yes,Yes,1.V8.I7,original band 1783-24826,113.42,9.62,31.66,23.52,8.8,0,46.37,NA,NA,134,KL,0,0.4170192,0.5829808,oak,west,F
NA,,17-Dec-25,131,F_115,1793-17888,NA,,F19-049,,,,-;-,NA,F,AHY,11/4/19,2019,SZ PEL,-119.69859,34.0278147,Trap Setup,NA,Yes,NA,NA,Yes,Yes,1.W12.F4,NA,122,10.95,35.02,25.3,9.75,161,45.6,NA,NA,141,CIM,0.16138673,0.30917399,0.52943928,pine,central,M
NA,,17-Dec-25,246,F_116,1793-17908,NA,,F19-135,,,,;,NA,F,AHY,12/11/19,2019,SZ PEL,-119.70312,34.0304557,Trap Setup,NA,Yes,NA,NA,Yes,Yes,1.W13.F9,NA,109.5,10.17,31.9,23.33,8.79,144,43.4,NA,NA,134,MAY,0.33537903,0.24404139,0.42057957,pine,central,F
NA,,17-Dec-25,134,F_117,1833-00354,NA,,F15-135,,,,YUY;AOO,NA,F,AHY,12/9/15,2015,SZ SC,-119.58063,34.0359199,Trap Setup,NA,Yes,No,No,Yes,Yes,1.W4.F9,NA,101.3,10.04,32.61,22.44,9.08,144,43.65,43.59,NA,131,KLR,0,0.36350533,0.63649467,oak,east,F
NA,,17-Dec-25,87.3,F_118,1833-00364,NA,,S16-006,,,,RYK,APS,F,SY,5/18/16,2016,SZ PZ,-119.758611,34.00833294,Location,NA,Yes,No,No,Yes,Yes,1.W5.A6,NA,108.4,9.87,29.12,20.72,8.57,137,45.32,46.12,NA,128,EMD,0,0.40493126,0.59506874,oak,west,F
NA,,18-Dec-25,51.1,F_119,1833-00401,NA,,F15-089,,,,UOU,AWS,F,HY,11/5/15,2015,SZ SAU,-119.8137572,34.00109495,Trap Setup,NA,Yes,No,No,Yes,Yes,1.W4.A8,NA,100.2,9.71,30.03,21.98,9.34,140,44.07,43.93,NA,125,NOL,0.34200332,0.07641842,0.58157827,pine,west,F
NA,,10-Dec-25,127,F_12,1603-78715,NA,,S10-001,,,,WUO,AP,F,SY,5/18/10,2010,SZ PZ,-119.762396,34.00487814,Trap Setup,NA,Yes,No,No,Yes,Yes,1.V4.I9,NA,113.18,9.76,30.75,21.84,9,137,45.32,45.26,NA,124,LC/ MHC,0,0.80530963,0.19469038,oak,west,F
NA,,18-Dec-25,33.6,F_120,1833-00507,NA,,S14-103,,,,WRY,AWO,F,SY,6/12/14,2014,SZ SAU,-119.81726,34.00398401,Trap Setup,NA,Yes,No,No,Yes,Yes,1.X1.C2,NA,109,9.5,NA,22.83,9.06,143,42.39,42.36,NA,127,MCH,0.65130293,0.09232648,0.25637059,pine,west,F
NA,,18-Dec-25,25.5,F_121,1833-00511,NA,,F14-005,,,,BKB,APO,F,AHY,10/7/14,2014,SZ PZ,-119.760865,34.00639406,Trap Setup,NA,Yes,No,No,Yes,Yes,1.X1.D6,NA,103.12,9.87,32.55,23.65,8.9,145,45.24,132,NA,NA,TBR,0,0.56917547,0.43082453,oak,west,F
NA,,18-Dec-25,34.2,F_122,1833-00530,NA,,F14-021,,,,PUG,AWO,F,AHY,10/23/14,2014,SZ SAU,-119.820122,34.00085894,Trap Setup,NA,Yes,No,No,Yes,No,1.X1.F10,NA,110.8,9.71,32.17,22.59,9.12,143,46.25,46.44,NA,128,EMD,0.34852473,0.34141328,0.31006198,pine,west,F
